classification: 0
START
1,	1335
1,	1317
1,	1339
1,	1320
1,	1321
1,	1331
1,	1317
1,	1343
1,	1306
1,	1349
1,	1305
1,	1343
1,	1323
1,	1310
1,	1361
1,	1282
1,	1363
1,	1300
1,	1335
1,	1325
1,	1311
1,	1351
1,	1283
1,	1372
1,	1271
1,	1356
1,	1313
1,	1308
1,	1347
1,	1292
1,	1353
1,	1280
1,	1370
1,	1275
1,	1349
1,	1317
1,	1306
1,	1356
1,	1278
1,	1369
1,	1262
1,	1379
1,	1301
1,	1356
1,	1346
1,	1323
1,	1388
1,	1298
1,	1400
1,	1308
1,	1390
1,	1328
1,	1368
1,	1361
1,	1318
1,	1375
1,	1287
1,	1375
1,	1284
1,	1363
1,	1298
1,	1338
1,	1331
1,	1297
1,	1371
1,	1264
1,	1396
1,	1258
1,	1383
1,	1288
1,	1333
1,	1353
1,	1257
1,	1405
1,	1241
1,	1399
1,	1275
1,	1343
1,	1346
1,	1274
1,	1403
1,	1238
1,	1400
1,	1275
1,	1351
1,	1339
1,	1290
1,	1386
1,	1259
1,	1393
1,	1268
1,	1367
1,	1300
1,	1327
1,	1344
1,	1286
1,	1375
1,	1266
1,	1380
1,	1273
1,	1359
1,	1298
1,	1319
1,	1345
1,	1276
1,	1371
1,	1272
1,	1362
1,	1290
1,	1343
1,	1308
1,	1312
1,	1346
1,	1291
1,	1357
1,	1289
1,	1350
1,	1305
1,	1328
1,	1325
1,	1312
1,	1336
1,	1302
1,	1343
1,	1303
1,	1334
1,	1315
1,	1323
1,	1324
1,	1313
1,	1331
1,	1309
1,	1344
1,	1331
1,	1344
1,	1341
1,	1347
1,	1335
1,	1331
1,	1330
1,	1330
1,	1321
1,	1330
1,	1324
1,	1322
1,	1336
1,	1315
1,	1335
1,	1319
1,	1330
1,	1330
1,	1314
1,	1342
1,	1307
1,	1341
1,	1315
1,	1326
1,	1332
1,	1312
1,	1344
1,	1307
1,	1341
1,	1314
1,	1330
1,	1325
1,	1318
1,	1335
1,	1309
1,	1339
1,	1310
1,	1334
1,	1316
1,	1326
1,	1324
1,	1316
1,	1332
1,	1312
1,	1331
1,	1315
1,	1325
1,	1320
1,	1324
1,	1319
1,	1322
1,	1325
1,	1318
1,	1325
1,	1319
1,	1329
1,	1316
1,	1328
1,	1322
1,	1327
1,	1320
1,	1323
1,	1327
1,	1316
1,	1333
1,	1314
1,	1329
1,	1323
1,	1326
1,	1320
1,	1322
1,	1325
1,	1315
1,	1328
1,	1317
1,	1324
1,	1315
1,	1328
1,	1316
1,	1322
1,	1323
1,	1316
1,	1327
1,	1316
1,	1328
1,	1315
1,	1327
1,	1318
1,	1323
1,	1320
1,	1332
1,	1343
1,	1333
1,	1349
1,	1345
1,	1335
1,	1331
